Get-AzureADTrustedCertificateAuthority,MISSING
Get-AzureADUser,Get-MgUser
Get-AzureADUserAppRoleAssignment,Get-MgUserAppRoleAssignment
Get-AzureADUserCreatedObject,Get-MgUserCreatedObject
Get-AzureADUserDirectReport,Get-MgUserDirectReport
Get-AzureADUserExtension,Get-MgUserExtension
Get-AzureADUserLicenseDetail,Get-MgUserLicenseDetail
Get-AzureADUserManager,Get-MgUserManager
Get-AzureADUserMembership,Get-MgUserMemberOf
Get-AzureADUserOAuth2PermissionGrant,Get-MgUserOauth2PermissionGrant
Get-AzureADUserOwnedDevice,Get-MgUserOwnedDevice
Get-AzureADUserOwnedObject,Get-MgUserOwnedObject
Get-AzureADUserRegisteredDevice,Get-MgUserRegisteredDevice
Get-AzureADUserThumbnailPhoto,Get-MgUserPhoto
Get-CrossCloudVerificationCode,MISSING
New-AzureADApplication,New-MgApplication
New-AzureADApplicationExtensionProperty,New-MgApplicationExtensionProperty
New-AzureADApplicationKeyCredential,Add-MgApplicationKey
New-AzureADApplicationPasswordCredential,Add-MgApplicationPassword
New-AzureADApplicationProxyApplication,MISSING
New-AzureADApplicationProxyConnectorGroup,MISSING
New-AzureADDevice,New-MgDevice
New-AzureADDomain,New-MgDomain
New-AzureADGroup,New-MgGroup
New-AzureADGroupAppRoleAssignment,New-MgGroupAppRoleAssignment
New-AzureADMSAdministrativeUnit,New-MgDirectoryAdministrativeUnit
New-AzureADMSApplication,New-MgApplication
New-AzureADMSApplicationExtensionProperty,New-MgApplicationExtensionProperty
New-AzureADMSApplicationKey,Add-MgApplicationKey
New-AzureADMSApplicationPassword,Add-MgApplicationPassword
New-AzureADMSConditionalAccessPolicy,New-MgIdentityConditionalAccessPolicy
New-AzureADMSGroup,New-MgGroup
New-AzureADMSGroupLifecyclePolicy,New-MgGroupLifecyclePolicy
New-AzureADMSIdentityProvider,New-MgIdentityProvider
New-AzureADMSInvitation,New-MgInvitation
New-AzureADMSNamedLocationPolicy,New-MgIdentityConditionalAccessNamedLocation
New-AzureADMSPermissionGrantConditionSet,New-MgPolicyPermissionGrantPolicyInclude and New-MgPolicyPermissionGrantPolicyExclude
New-AzureADMSPermissionGrantPolicy,New-MgPolicyPermissionGrantPolicy
New-AzureADServiceAppRoleAssignment,New-MgServicePrincipalAppRoleAssignment
New-AzureADServicePrincipal,New-MgServicePrincipal
New-AzureADServicePrincipalKeyCredential,Add-MgServicePrincipalKey or Update-MgServicePrincipal
New-AzureADServicePrincipalPasswordCredential,Add-MgServicePrincipalPassword
New-AzureADTrustedCertificateAuthority,MISSING
New-AzureADUser,New-MgUser
New-AzureADUserAppRoleAssignment,New-MgUserAppRoleAssignment
Remove-AzureADApplication,Remove-MgApplication
Remove-AzureADApplicationExtensionProperty,Remove-MgApplicationExtensionProperty
Remove-AzureADApplicationKeyCredential,Remove-MgApplicationKey
Remove-AzureADApplicationOwner,MISSING
Remove-AzureADApplicationPasswordCredential,Remove-MgApplicationPassword
Remove-AzureADApplicationProxyApplication,MISSING
Remove-AzureADApplicationProxyApplicationConnectorGroup,MISSING
Remove-AzureADApplicationProxyConnectorGroup,MISSING
Remove-AzureADContact,Remove-MgContact
Remove-AzureADContactManager,Remove-MgContactManagerByRef
Remove-AzureADDeletedApplication,Remove-MgDirectoryDeletedItem
Remove-AzureADDevice,Remove-MgDevice
Remove-AzureADDeviceRegisteredOwner,MISSING
Remove-AzureADDeviceRegisteredUser,MISSING
Remove-AzureADDirectoryRoleMember,Remove-MgDirectoryRoleScopedMember
Remove-AzureADDomain,Remove-MgDomain
Remove-AzureADGroup,Remove-MgGroup
Remove-AzureADGroupAppRoleAssignment,Remove-MgGroupAppRoleAssignment
Remove-AzureADGroupMember,MISSING
Remove-AzureADGroupOwner,MISSING
Remove-AzureADMSAdministrativeUnit,Remove-MgDirectoryAdministrativeUnit
Remove-AzureADMSAdministrativeUnitMember,Remove-MgDirectoryAdministrativeUnitScopedRoleMember
Remove-AzureADMSApplication,Remove-MgApplication
Remove-AzureADMSApplicationExtensionProperty,Remove-MgApplicationExtensionProperty
Remove-AzureADMSApplicationKey,Remove-MgApplicationKey
Remove-AzureADMSApplicationOwner,MISSING
Remove-AzureADMSApplicationPassword,Remove-MgApplicationPassword
Remove-AzureADMSApplicationVerifiedPublisher,MISSING
Remove-AzureADMSConditionalAccessPolicy,Remove-MgIdentityConditionalAccessPolicy
Remove-AzureADMSDeletedDirectoryObject,Remove-MgDirectoryObject
Remove-AzureADMSGroup,Remove-MgGroup
Remove-AzureADMSGroupLifecyclePolicy,Remove-MgGroupLifecyclePolicy
Remove-AzureADMSIdentityProvider,Remove-MgIdentityProvider
Remove-AzureADMSLifecyclePolicyGroup,Remove-MgGroupFromLifecyclePolicy
Remove-AzureADMSNamedLocationPolicy,Remove-MgIdentityConditionalAccessNamedLocation
Remove-AzureADMSPermissionGrantConditionSet,Remove-MgPolicyPermissionGrantPolicyInclude and Remove-MgPolicyPermissionGrantPolicyExclude
Remove-AzureADMSPermissionGrantPolicy,Remove-MgPolicyPermissionGrantPolicy
Remove-AzureADMSScopedRoleMembership,Remove-MgUserScopedRoleMemberOf
Remove-AzureADMSServicePrincipalDelegatedPermissionClassification,Remove-MgServicePrincipalDelegatedPermissionClassification
Remove-AzureADOAuth2PermissionGrant,Remove-MgOauth2PermissionGrant
Remove-AzureADServiceAppRoleAssignment,Remove-MgServicePrincipalAppRoleAssignment
Remove-AzureADServicePrincipal,Remove-MgServicePrincipal
Remove-AzureADServicePrincipalKeyCredential,Remove-MgServicePrincipalKey
Remove-AzureADServicePrincipalOwner,MISSING
Remove-AzureADServicePrincipalPasswordCredential,Remove-MgServicePrincipalPassword
Remove-AzureADTrustedCertificateAuthority,MISSING
Remove-AzureADUser,Remove-MgUser
Remove-AzureADUserAppRoleAssignment,Remove-MgUserAppRoleAssignment
Remove-AzureADUserExtension,Remove-MgUserExtension
Remove-AzureADUserManager,Remove-MgUserManagerByRef
Reset-AzureADMSLifeCycleGroup,Invoke-MgRenewGroup
Restore-AzureADDeletedApplication,Restore-MgApplication
Restore-AzureADMSDeletedDirectoryObject,Restore-MgDirectoryObject
Revoke-AzureADSignedInUserAllRefreshToken,MISSING
Revoke-AzureADUserAllRefreshToken,Invoke-MgInvalidateUserRefreshTokenByRef
Select-AzureADGroupIdsContactIsMemberOf,Get-MgContactMemberOf
Select-AzureADGroupIdsGroupIsMemberOf,Get-MgGroupMemberOf
Select-AzureADGroupIdsServicePrincipalIsMemberOf,Get-MgServicePrincipalMemberOf
Select-AzureADGroupIdsUserIsMemberOf,Get-MgUserMemberOf
Set-AzureADApplication,Update-MgApplication
Set-AzureADApplicationLogo,Set-MgApplicationLogo
Set-AzureADApplicationProxyApplication,MISSING
Set-AzureADApplicationProxyApplicationConnectorGroup,MISSING
Set-AzureADApplicationProxyApplicationCustomDomainCertificate,MISSING
Set-AzureADApplicationProxyApplicationSingleSignOn,MISSING
Set-AzureADApplicationProxyConnector,MISSING
Set-AzureADApplicationProxyConnectorGroup,MISSING
Set-AzureADDevice,Update-MgDevice
